Frontside,Flipside,Category,Level
20 or so,"تقریبا


20 roughly",,0
abrupt,"اتفاقی- غیر متتظره-غیردوستانه و گستاخانه


1)sudden and unexpected; or 2) seeming rude and unfriendly


1.an abrupt change of plan.2.Sorry, I didn’t mean to be so abrupt.",,0
abundance,"فراوانی-وفور



great number: large amount, host of


1)an abundance of wavy red hair 2)an abundance of good news",,0
access,"اجازه دسترسی-دسترسی



1)reach; how easy or difficult it is for people to enter a public building, to reach a place, or talk to someone 2) the right to enter a place, use something, see someone etc


1) Cats should always have access to fresh, clean water. Access to the papers is restricted to senior management 2)access for = We’re trying to improve access for disabled visitors.access to = a villa with easy access to the sea",,0
a solicitation of,"درخواست از کسی برای کمک پول / اطلاعات و غیره



an invitation of",,0
accidental,"غیر منتظره



unexpected


Buy an insurance policy that covers accidental damage.",,0
abort,"متوقف کردن یه فعالیت


quit,to stop an activity because it would be difficult or dangerous to continue it



1) The plane had already started its descent when the pilot received orders to abort his landing. 2) The rescue mission had to be aborted.",,0
accelerate,"سرعت بخشیدن


speed up/get faster


measures to accelerate the rate of economic growth",,0
acclaimed,"تحسین شده


praised- publicly praised by a lot of people-


the book has been widely acclaimed by teachers and pupils-His wife, for instance, wrote a critically acclaimed TV drama",,0
absurd,"مضحک-مسخره



ridiculous,completely stupid or unreasonable


It seems quite absurd to expect anyone to drive for 3 hours just for a 20-minute meeting.",,0
accessible,"قابل دسترس


easy to approach; obtainable


1)The island is only accessible by boat. 2) Computers should be made readily (easily)accessible to teachers and pupils.",,0
aberrant,"غیر معمول - غیر طبیعی



abnormal, deviating from what is normal or typical or from
an established rule; abnormal or deviant",,0
abundant,"فراوان-زیاد


affluent: ample: numerous :plentiful: substantial, copious



1) abundant opportunities for well-qualified staff 2) an abundant supply of fresh water",,0
abstract,"انتزاعی



Not concrete and realistic;not obviously related to every- day experience


the ability to translate abstract ideas into words",,0
absorb,"جذب کردن آب یا مواد دیگر یا اطلاعات


appeal: learn: take into; take in a liquid, gas or other substance from the surface or space around


1)Plants absorb nutrients from the soil.2)Her capacity to absorb information is amazing.",,0
abandon,"رها کردن (کسی یا مکانی) بدون تصمیمی برای بازگشت


give up, desert; leave without planning to come back; quit",,0
a matter of speculation,"فرض گمان



supposition",,0
accommodate,"جا دادن



provide for: achieve- if a room, building etc can ~ a particular a number of people or thing, it has enough space for them",,0
accomplished,"بسیار ماهر



adept-skilled-very skilful because you had a lot of experience of doing something


he is a highly accomplished designer",,0
account for,"توضیح دادن-تشکیل دادن



1. explain-2.to form a particular amount or part of something


Afro-Americans account for 12% of the US population-Recent pressure at work may account for his behavior.",,0
account,"توضیح دادن کتبی یا شفاهی-حساب-صورت حساب



description",,0
accumulate,"ابانشتن پول، دانش و غیره



collect: pile up: build up- to gradually more and more money, possessions, knowledge etc over a period of time


- inverstigators have yet to accumulate enough evidence",,0
accurate,"دقیق-صحیح



correct- correct and true in every detail


it is difficult to get accurate figures on population numbers",,0
